time_s,target_x,target_y,target_z,position_x,position_y,position_z,pd_x,pd_y,pd_z,position_error_m,pd_error_m,tau_base,tau_shoulder,tau_elbow
1.008000000000000673e+00,9.127688364539731092e-01,1.341295049808442497e-01,7.199999999999999734e-01,9.143395520060125792e-01,1.385992870406001221e-01,7.192793976830895719e-01,9.103463420313384624e-01,1.321846367601792194e-01,7.141343585111858960e-01,4.792219392543578711e-03,6.637525269160619162e-03,4.256997023946939684e+00,-2.777287734787685025e+01,2.324612780082944141e-01
1.044000000000000705e+00,9.023879766383160472e-01,1.267749695138519206e-01,7.199999999999999734e-01,9.037696379170058192e-01,1.322645066166684980e-01,7.191245468588327583e-01,9.001418507195537710e-01,1.245445871440766239e-01,7.142449446282087555e-01,5.728038381034996490e-03,6.568131354557633743e-03,5.051443020694271091e+00,-2.744214615649137556e+01,2.343804409299607983e-01
1.080000000000000737e+00,8.926242514625540858e-01,1.186189218717788874e-01,7.199999999999999734e-01,8.938241793375110156e-01,1.251039960875668100e-01,7.189654071000546320e-01,8.905740225913006958e-01,1.161159552036303555e-01,7.143518106979184212e-01,6.675806839475907466e-03,6.509249031841691548e-03,5.820511341422895057e+00,-2.711158268099643820e+01,2.206894156547569708e-01
1.116000000000000769e+00,8.835393903408809146e-01,1.097129272138261114e-01,7.199999999999999734e-01,8.845687862300184445e-01,1.171609294692044501e-01,7.188048048595033768e-01,8.817033867115949830e-01,1.069515753284803194e-01,7.144541242487161270e-01,7.613204641710397645e-03,6.461633803468905604e-03,6.556420851321727028e+00,-2.678509599509378702e+01,1.909789076542978137e-01
1.152000000000000801e+00,8.751908306903659618e-01,1.001132921056895608e-01,7.199999999999999734e-01,8.760644162442157157e-01,1.084827824620488018e-01,7.186452447152862355e-01,8.735860872317859904e-01,9.710895800710184211e-02,7.145510159968533337e-01,8.523314051854778001e-03,6.425935854826133296e-03,7.251014030497890062e+00,-2.646644703825709755e+01,1.450652285928448748e-01
1.188000000000000833e+00,8.676313547931108205e-01,8.988070853132333615e-02,7.199999999999999734e-01,8.683668505300898843e-01,9.912107093031420624e-02,7.184888062148128141e-01,8.662735258625819945e-01,8.664995344116227516e-02,7.146415830234786881e-01,9.391962409432172421e-03,6.402664316630552258e-03,7.895880278925099915e+00,-2.615910688009004303e+01,8.300427919796504739e-02
1.224000000000000865e+00,8.609087560896667712e-01,7.907987017867566804e-02,7.199999999999999734e-01,8.615262023564935756e-01,8.913110220120074034e-02,7.183370475226487084e-01,8.598120336268355590e-01,7.564038969032670090e-02,7.147248973087118040e-01,1.020656239901468997e-02,6.392146321373400573e-03,8.482528277068485778e+00,-2.586610973384657797e+01,5.099316130586117879e-03
1.260000000000000897e+00,8.550655370135162858e-01,6.777906342536446638e-02,7.199999999999999734e-01,8.555864718396664070e-01,7.857174315313159019e-02,7.181909233112400148e-01,8.542425743257689996e-01,6.414968538202567294e-02,7.148000208057124771e-01,1.095564088792007514e-02,6.394484825841468753e-03,9.002607963568516780e+00,-2.558991269846752914e+01,-8.809840721088946225e-02
1.296000000000000929e+00,8.501386402770034767e-01,5.604973561021189127e-02,7.199999999999999734e-01,8.505851613229565844e-01,6.750520564186822392e-02,7.180507250872535385e-01,8.496004819596065794e-01,5.225043658432428767e-02,7.148660276771294786e-01,1.162870789796175211e-02,6.409520986368186929e-03,9.448176927276120907e+00,-2.533227674968933130e+01,-1.957967116053840329e-01
1.332000000000000961e+00,8.461592153076127332e-01,4.396604332016400968e-02,7.199999999999999734e-01,8.465529660439188309e-01,5.599684560186399956e-02,7.179160520680128998e-01,8.459152340579950691e-01,4.001797726163139335e-02,7.149220334559925893e-01,1.221630394869628600e-02,6.436807956958212444e-03,9.811999175507924775e+00,-2.509418447796961260e+01,-3.169773994519751170e-01
