time_s,target_x,target_y,target_z,kinematic_x,kinematic_y,kinematic_z,mujoco_x,mujoco_y,mujoco_z,kinematic_error_m,mujoco_error_m
5.040000000000003366e-01,1.028471937551974635e+00,1.777339269020871415e-01,7.199999999999999734e-01,1.029856300638870792e+00,1.773861077934995589e-01,7.199548584110434524e-01,1.036538256637371980e+00,1.645826305540880885e-01,7.214704735321277873e-01,1.428102605456917128e-03,1.549788345642807985e-02
5.280000000000003579e-01,1.015863848481448395e+00,1.792995769971520159e-01,7.199999999999999734e-01,1.017266930896662647e+00,1.790594592131787843e-01,7.199513910061021704e-01,1.023799943619094321e+00,1.679763910306972252e-01,7.215718907004551319e-01,1.424310235991945199e-03,1.391642866682625025e-02
5.520000000000003793e-01,1.003176726515763173e+00,1.799719656186597461e-01,7.199999999999999734e-01,1.004590903290437431e+00,1.798416673521644749e-01,7.199481687657433016e-01,1.010929632061292160e+00,1.705337678746137176e-01,7.216164461061246316e-01,1.421112263378347760e-03,1.232071503881228616e-02
5.760000000000004006e-01,9.904737782583706851e-01,1.797477429603200894e-01,7.199999999999999734e-01,9.918913098247931215e-01,1.797287713362776818e-01,7.199452638793978343e-01,9.979932165472660266e-01,1.722452727312049348e-01,7.216063190048248588e-01,1.418714808275935721e-03,1.074287077389121832e-02
6.000000000000004219e-01,9.778182891585114334e-01,1.786280260881382143e-01,7.199999999999999734e-01,9.792313642445585886e-01,1.787212455416462009e-01,7.199427508139064624e-01,9.850573323902901413e-01,1.731057118844854248e-01,7.215442602182502441e-01,1.417303261348068803e-03,9.234957536290940711e-03
6.240000000000004432e-01,9.652733082262905384e-01,1.766183933752478175e-01,7.199999999999999734e-01,9.666740893127793166e-01,1.768239954265205249e-01,7.199407049541106662e-01,9.721890395110854843e-01,1.731141112002856086e-01,7.214335518987543550e-01,1.417030613014144333e-03,7.884313781913536087e-03
6.480000000000004645e-01,9.529013339256806603e-01,1.737288567107369286e-01,7.199999999999999734e-01,9.542820051087451683e-01,1.740463317425482437e-01,7.199392007663657500e-01,9.594554954436872451e-01,1.722736229236828120e-01,7.212779640259591174e-01,1.418005591800981660e-03,6.834320056212464869e-03
6.720000000000004858e-01,9.407640028103182450e-01,1.699738116209200400e-01,7.199999999999999734e-01,9.421168198174307840e-01,1.704019234545116890e-01,7.199383094215867640e-01,9.469236169972066186e-01,1.705914106223721527e-01,7.210817058229276322e-01,1.420281424316704620e-03,6.284294944165715394e-03
6.960000000000005071e-01,9.289217824532935985e-01,1.653719655515501208e-01,7.199999999999999734e-01,9.302391244540357818e-01,1.659087298376106800e-01,7.199380958349472781e-01,9.346597298273594534e-01,1.680785106151098107e-01,7.208493703699406785e-01,1.423846189502360297e-03,6.400848090211309557e-03
7.200000000000005285e-01,9.174336702007437339e-01,1.599462446682648475e-01,7.199999999999999734e-01,9.187080929336811641e-01,1.605889123528879414e-01,7.199386151143514212e-01,9.227292050037892990e-01,1.647496699509543305e-01,7.205858707337674529e-01,1.428615819341436111e-03,7.173480871469068224e-03
7.440000000000005498e-01,9.063568992500412591e-01,1.537236796395827498e-01,7.199999999999999734e-01,9.075811888585342269e-01,1.544687270167756366e-01,7.199399084623341327e-01,9.111960816541369024e-01,1.606231625826799458e-01,7.202963660037222660e-01,1.434430769547596213e-03,8.432578729567862322e-03
7.680000000000005711e-01,8.957466535168840949e-01,1.467352709714721815e-01,7.199999999999999734e-01,8.969138803552363370e-01,1.475783980706222853e-01,7.199419986479165257e-01,9.001226749910495872e-01,1.557205869056462189e-01,7.199861758066529172e-01,1.441057234926686973e-03,9.994281239168780959e-03
7.920000000000005924e-01,8.856557927118030582e-01,1.390158345643900117e-01,7.199999999999999734e-01,8.867593642569898682e-01,1.399519738097553534e-01,7.199448852557339684e-01,8.895691695582116365e-01,1.500666493490355191e-01,7.196606822286898408e-01,1.448193521976501048e-03,1.172817813202346217e-02
8.160000000000006137e-01,8.761345889957435906e-01,1.306038282622168922e-01,7.199999999999999734e-01,8.771683008896877798e-01,1.316271654383904810e-01,7.199485400250854594e-01,8.795931984395071179e-01,1.436889401894120843e-01,7.193252186619125688e-01,1.455481839405363366e-03,1.355129009673791858e-02
8.400000000000006350e-01,8.672304765266880544e-01,1.215411602572135097e-01,7.199999999999999734e-01,8.681885606921111442e-01,1.226451697677167496e-01,7.199529027020802330e-01,8.702494105211393549e-01,1.366177091296540136e-01,7.189849459657251529e-01,1.462525357998076822e-03,1.540930313344631049e-02
8.640000000000006564e-01,8.589878151450665023e-01,1.118729803055146799e-01,7.199999999999999734e-01,8.598649838775105358e-01,1.130504764658023520e-01,7.199578779280131346e-01,8.615890297075274873e-01,1.288856493164782235e-01,7.186447175088390704e-01,1.468909956947037684e-03,1.726366168306728982e-02
8.880000000000006777e-01,8.514476693752641712e-01,1.016474547933156614e-01,7.199999999999999734e-01,8.522391543274024928e-01,1.028906604040190076e-01,7.199633337546497147e-01,8.536594122414231656e-01,1.205276991748005233e-01,7.183089361248045090e-01,1.474229640691628084e-03,1.908442117122201298e-02
9.120000000000006990e-01,8.446476038442248813e-01,9.091552677435853214e-02,7.199999999999999734e-01,8.453491888957083145e-01,9.221615944174572921e-02,7.199691023859957628e-01,8.465036108626713407e-01,1.115808715011738506e-01,7.179814077066575262e-01,1.478114198054703704e-03,2.084648530513903350e-02
9.360000000000007203e-01,8.386214961363708253e-01,7.973066217420143875e-02,7.199999999999999734e-01,8.392295432880457762e-01,8.108003777975515691e-02,7.199749836698574601e-01,8.401599572574801611e-01,1.020841184601635337e-01,7.176651979550315863e-01,1.480257302058423860e-03,2.252765347608959995e-02
9.600000000000007416e-01,8.333993680171802865e-01,6.814858342566663951e-02,7.199999999999999734e-01,8.339108356608700978e-01,6.953773483752902218e-02,7.199807516811479458e-01,8.346616767955561400e-01,9.207823928169502070e-02,7.173625004802914873e-01,1.480442938244999704e-03,2.410763896685821570e-02
9.840000000000007629e-01,8.290072358662616825e-01,5.622699186248295011e-02,7.199999999999999734e-01,8.294196890510879827e-01,5.764679952542325209e-02,7.199861644471824418e-01,8.300365515284946483e-01,8.160583446809541175e-02,7.170745257827111363e-01,1.478567838125504188e-03,2.556762683803465858e-02
1.008000000000000673e+00,8.254669810650601125e-01,4.402528025414403912e-02,7.199999999999999734e-01,8.257785936917146907e-01,4.546660984478358147e-02,7.199909764808446466e-01,8.263066483789561767e-01,7.071130623521278136e-02,7.168014212999348489e-01,1.474657533748654093e-03,2.689014558459681611e-02
1.032000000000000695e+00,8.227962409849149950e-01,3.160423691411775454e-02,7.199999999999999734e-01,8.230057901874910931e-01,3.305807800142772368e-02,7.199949533554350634e-01,8.234881289513246161e-01,5.944089997066601821e-02,7.165422324321929493e-01,1.468873801275070697e-03,2.805912820518198861e-02
